	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recall@50%FDR	recall@25%FDR	recall@10%FDR
ENCSR000AOA	1090.0	229530.0	12569.0	0.004482110621779768	0.9438338082725781	0.05168408110564211	34	0.9891292257772865	0.7003947444207466	0.7339449541284404	0.5981651376146789	0.43486238532110094
ENCSR000DTO	1034.0	230457.0	11698.0	0.004251837048550716	0.9476456583151376	0.048102504636311674	35	0.9909934401722642	0.732655899909112	0.7882011605415861	0.6247582205029013	0.43907156673114117
ENCSR000DRE	691.0	240258.0	2240.0	0.0028414114125227706	0.9879476456583152	0.009210942929162092	36	0.9975190924459534	0.7595517091865822	0.8248914616497829	0.6541244573082489	0.45296671490593343
ENCSR000DNI	579.0	234472.0	8138.0	0.002380864266064666	0.964155451110042	0.03346368462389335	37	0.994286718710546	0.7437413946382331	0.8186528497409327	0.6597582037996546	0.48186528497409326
ENCSR634OAQ	1352.0	225076.0	16761.0	0.005559461982244262	0.9255188351446817	0.06892170287307403	38	0.9912046638342593	0.7633015124144255	0.8054733727810651	0.6974852071005917	0.5436390532544378
ENCSR000DVH	934.0	236300.0	5955.0	0.0038406342392131223	0.9716722384647332	0.024487127296053686	39	0.9937561518992388	0.7287494019085156	0.7837259100642399	0.6263383297644539	0.4400428265524625
ENCSR000DSZ	1044.0	226808.0	15337.0	0.004292957329484475	0.9326408678024088	0.0630661748681067	40	0.9937416684809512	0.7110591245168881	0.7567049808429118	0.5775862068965517	0.4061302681992337
ENCSR000DYD	849.0	229336.0	13004.0	0.003491111851276168	0.9430360748224632	0.053472813326260644	41	0.986729112115263	0.7219190396697284	0.7785630153121319	0.6301531213191991	0.4617196702002356
ENCSR857PBV	2422.0	226560.0	14207.0	0.009959332042156512	0.9316210848352516	0.05841958312259189	42	0.9839112322469523	0.7556090925666333	0.8001651527663088	0.6556564822460776	0.5074318744838976
ENCSR000DNA	771.0	232369.0	10049.0	0.003170373659992845	0.9555078560296724	0.04132177031033476	43	0.9966833996906804	0.7491991446667371	0.8054474708171206	0.6614785992217899	0.5084306095979247
ENCSR000DLS	747.0	242442.0		0.0030716849857518225	0.9969283150142482		44	0.9973660076989721	0.7428209515895485	0.8032128514056225	0.6345381526104418	0.4069611780455154
ENCSR000DQI	991.0	232418.0	9780.0	0.004075019840535551	0.9557093454062479	0.040215634753216635	45	0.9869404479223943	0.6775962951755564	0.7366296670030272	0.5580221997981837	0.36629667003027244
ENCSR619IUE	976.0	233468.0	8745.0	0.004013339419134911	0.9600269749042926	0.03595968567657254	46	0.9973374514835045	0.7956097273806043	0.8391393442622951	0.7233606557377049	0.576844262295082
ENCSR203QEB	2800.0	213852.0	26537.0	0.011513678661452614	0.8793654318246302	0.10912088951391716	47	0.9780902655307675	0.773958020349807	0.8207142857142857	0.6957142857142857	0.5403571428571429
ENCSR000APF	1178.0	231285.0	10726.0	0.00484396909399685	0.9510504175764529	0.04410561332955027	48	0.9876625693470961	0.7247902947530185	0.7707979626485568	0.6536502546689303	0.5025466893039049
ENCSR000DQW	967.0	231924.0	10298.0	0.003976331166294528	0.9536780035281202	0.04234566530558537	49	0.9928300068772307	0.7352506040652891	0.7849017580144778	0.6494312306101344	0.47983453981385726
ENCSR000DQN	849.0	232922.0	9418.0	0.003491111851276168	0.9577818075653093	0.03872708058341454	50	0.9933250983214843	0.7404663571216765	0.7879858657243817	0.6478209658421673	0.4581861012956419
ENCSR000BSE	892.0	228215.0	14082.0	0.003667929059291333	0.9384264913297887	0.057905579610919904	51	0.9920899957743803	0.7338053216381965	0.8172645739910314	0.672645739910314	0.39798206278026904
ENCSR000DTR	1019.0	229996.0	12174.0	0.004190156627150077	0.9457500133640913	0.05005983000875862	52	0.9843773427573882	0.6610180853447076	0.7105004906771345	0.5417075564278705	0.35328753680078506
