	pos	neg	amb	pos%	neg%	amb%
ENCSR000DPS	411596.0	5225297.0	813544.0	0.06380901014923485	0.8100686821683554	0.12612230768240973
ENCSR000DPG	404019.0	5435532.0	610886.0	0.0626343610518171	0.8426610476158437	0.09470459133233919
ENCSR196HOM	1736413.0	3484165.0	1229859.0	0.2691930794766308	0.5401440243505983	0.19066289617277093
ENCSR541AMF	1023689.0	4319084.0	1107664.0	0.15870072058683776	0.6695800610098199	0.17171921840334228
ENCSR000DUH	414155.0	5835748.0	200534.0	0.06420572745691494	0.9047058362092367	0.03108843633384839
ENCSR000DKN	473597.0	5199478.0	777362.0	0.07342091706344857	0.806066007620879	0.12051307531567242
ENCSR673WZL	645589.0	4660664.0	1144184.0	0.10008453690811955	0.7225346127711968	0.1773808503206837
ENCSR000AUV	748114.0	4685927.0	1016396.0	0.11597880887760008	0.726451091608212	0.15757009951418796
ENCSR000DMY	373569.0	5559713.0	517155.0	0.05791375064976218	0.8619126115021354	0.08017363784810239
ENCSR430YRJ	752403.0	4369823.0	1328211.0	0.11664372506854961	0.6774460397024263	0.20591023522902402
ENCSR084RDK	867959.0	4142763.0	1439715.0	0.1345581702448997	0.6422453238439504	0.2231965059111499
ENCSR000DPV	483825.0	5336947.0	629665.0	0.0750065460681191	0.8273775869758901	0.09761586695599074
ENCSR000DUM	547292.0	4946151.0	956994.0	0.08484572440595885	0.7667931645561378	0.14836111103790334
ENCSR000DYB	389571.0	5280434.0	780432.0	0.060394512805876564	0.8186164751318399	0.12098901206228353
ENCSR000DWQ	545780.0	5093469.0	811188.0	0.08461132168254647	0.7896316172067102	0.12575706111074336
ENCSR000AHD	532392.0	5260374.0	657671.0	0.08253580338820456	0.815506608311964	0.10195758829983147
ENCSR932ZMX	659869.0	5209577.0	580991.0	0.10229834040701428	0.8076316379804965	0.0900700216124892
ENCSR240PRQ	802035.0	4485989.0	1162413.0	0.12433808748151481	0.6954550521150737	0.18020686040341144
ENCSR000AKB	536623.0	5084636.0	829178.0	0.08319172794029303	0.7882622526194737	0.12854601944023328
ENCSR000EIC	497440.0	5245757.0	707240.0	0.07711725577662412	0.8132405602907213	0.10964218393265449
ENCSR000AKO	749856.0	5700581.0		0.11624886809994424	0.8837511319000557	
ENCSR000BLX	365412.0	5609039.0	475986.0	0.05664918516373387	0.8695595352686958	0.07379127956757038
ENCSR000DML	439314.0	5851173.0	159950.0	0.06810608335528275	0.9070971470615091	0.024796769583208082
ENCSR000APM	508460.0	5167661.0	774316.0	0.07882566716022496	0.8011334735925644	0.1200408592472107
ENCSR856JJB	1823892.0	3338368.0	1288177.0	0.28275479630294814	0.5175413696777443	0.19970383401930752
ENCSR000BNO	302320.0	5505296.0	642821.0	0.046868142421978544	0.8534764388831331	0.09965541869488842
ENCSR402IDP	621419.0	4815917.0	1013101.0	0.09633750395515839	0.7466032146349154	0.15705928140992617
ENCSR000DKP	294588.0	5604301.0	551548.0	0.04566946394484591	0.8688250113907011	0.08550552466445296
ENCSR066BZZ	1254309.0	4012802.0	1183326.0	0.19445333703747514	0.6220976966366775	0.18344896632584737
ENCSR000DVI	541327.0	5234456.0	674654.0	0.083920980857576	0.8114885859671213	0.1045904331753027
